ISO3Code,UNRegion,WB_Latest,age,sex,mothers_education,severe_wasting_estimate
AFG,Asia,Low Income,month_0_5 , male,primary,1.8056907781967773
AFG,Asia,Low Income,month_0_5 , male,none-primary,1.5959200988025557
AFG,Asia,Low Income,month_0_5 , male,secondary,3.2203273719308885
AFG,Asia,Low Income,month_0_5 , male,higher_secondary,2.375922310142842
AFG,Asia,Low Income,month_6_11 , male,primary,1.3334797777490637
AFG,Asia,Low Income,month_6_11 , male,none-primary,1.5368785294797191
AFG,Asia,Low Income,month_6_11 , male,secondary,2.561132144601857
AFG,Asia,Low Income,month_6_11 , male,higher_secondary,2.00117286923024
AFG,Asia,Low Income,month_12_23 , male,primary,1.410838246915081
AFG,Asia,Low Income,month_12_23 , male,none-primary,1.5398169523381475
AFG,Asia,Low Income,month_12_23 , male,secondary,2.202567054218948
AFG,Asia,Low Income,month_12_23 , male,higher_secondary,1.9
AFG,Asia,Low Income,month_24_35 , male,primary,1.4816695404007372
AFG,Asia,Low Income,month_24_35 , male,none-primary,1.5514572690452446
AFG,Asia,Low Income,month_24_35 , male,secondary,2.269735418143822
AFG,Asia,Low Income,month_24_35 , male,higher_secondary,1.9512115457652863
AFG,Asia,Low Income,month_36_47 , male,primary,0.7608019639934532
AFG,Asia,Low Income,month_36_47 , male,none-primary,1.4261184110395209
AFG,Asia,Low Income,month_36_47 , male,secondary,1.3520840182648404
AFG,Asia,Low Income,month_36_47 , male,higher_secondary,1.3289321987373044
AFG,Asia,Low Income,month_48_59 , male,primary,0.8191024790397489
AFG,Asia,Low Income,month_48_59 , male,none-primary,1.4395690939138597
AFG,Asia,Low Income,month_48_59 , male,secondary,1.4493103317247409
AFG,Asia,Low Income,month_48_59 , male,higher_secondary,1.3938869665513265
AFG,Asia,Low Income,month_0_5 , female,primary,1.346935512524427
AFG,Asia,Low Income,month_0_5 , female,none-primary,1.5392815921471332
AFG,Asia,Low Income,month_0_5 , female,secondary,2.635362041467305
AFG,Asia,Low Income,month_0_5 , female,higher_secondary,2.0283473725020262
AFG,Asia,Low Income,month_6_11 , female,primary,1.8017830346897337
AFG,Asia,Low Income,month_6_11 , female,none-primary,1.5946764249374838
AFG,Asia,Low Income,month_6_11 , female,secondary,3.2753682746412087
AFG,Asia,Low Income,month_6_11 , female,higher_secondary,2.3863755917937928
AFG,Asia,Low Income,month_12_23 , female,primary,1.5668607395751375
AFG,Asia,Low Income,month_12_23 , female,none-primary,1.5660305441544369
AFG,Asia,Low Income,month_12_23 , female,secondary,2.437182160904789
AFG,Asia,Low Income,month_12_23 , female,higher_secondary,2.046388711734694
AFG,Asia,Low Income,month_24_35 , female,primary,0.6999999999999998
AFG,Asia,Low Income,month_24_35 , female,none-primary,1.420940502964629
AFG,Asia,Low Income,month_24_35 , female,secondary,1.3087782281412856
AFG,Asia,Low Income,month_24_35 , female,higher_secondary,1.2989897158251948
AFG,Asia,Low Income,month_36_47 , female,primary,0.6999999999999998
AFG,Asia,Low Income,month_36_47 , female,none-primary,1.4138075356157795
AFG,Asia,Low Income,month_36_47 , female,secondary,1.2660588657573584
AFG,Asia,Low Income,month_36_47 , female,higher_secondary,1.2701168696681295
AFG,Asia,Low Income,month_48_59 , female,primary,0.532499094411697
AFG,Asia,Low Income,month_48_59 , female,none-primary,1.403495790666508
AFG,Asia,Low Income,month_48_59 , female,secondary,1.154131599081867
AFG,Asia,Low Income,month_48_59 , female,higher_secondary,1.1979102252650178
ALB,Europe,Upper Middle Income,month_0_5 , male,primary,0.8121310411936425
ALB,Europe,Upper Middle Income,month_0_5 , male,none-primary,0.80796565704746
ALB,Europe,Upper Middle Income,month_0_5 , male,secondary,0.9942727957799548
ALB,Europe,Upper Middle Income,month_0_5 , male,higher_secondary,0.6286036944422038
ALB,Europe,Upper Middle Income,month_6_11 , male,primary,0.5718085106382979
ALB,Europe,Upper Middle Income,month_6_11 , male,none-primary,0.5723587514816278
ALB,Europe,Upper Middle Income,month_6_11 , male,secondary,0.5478766204738489
ALB,Europe,Upper Middle Income,month_6_11 , male,higher_secondary,0.390651807905075
ALB,Europe,Upper Middle Income,month_12_23 , male,primary,0.5105017162053604
ALB,Europe,Upper Middle Income,month_12_23 , male,none-primary,0.5120875179340029
ALB,Europe,Upper Middle Income,month_12_23 , male,secondary,0.4467358679339669
ALB,Europe,Upper Middle Income,month_12_23 , male,higher_secondary,0.3465547317924117
ALB,Europe,Upper Middle Income,month_24_35 , male,primary,0.5255483964381379
ALB,Europe,Upper Middle Income,month_24_35 , male,none-primary,0.5268563300142247
ALB,Europe,Upper Middle Income,month_24_35 , male,secondary,0.4732873336619024
ALB,Europe,Upper Middle Income,month_24_35 , male,higher_secondary,0.3629485516645049
ALB,Europe,Upper Middle Income,month_36_47 , male,primary,0.50359862625056
ALB,Europe,Upper Middle Income,month_36_47 , male,none-primary,0.5053441829777875
ALB,Europe,Upper Middle Income,month_36_47 , male,secondary,0.4322463297388592
ALB,Europe,Upper Middle Income,month_36_47 , male,higher_secondary,0.3360427966416524
ALB,Europe,Upper Middle Income,month_48_59 , male,primary,0.5152016546018614
ALB,Europe,Upper Middle Income,month_48_59 , male,none-primary,0.5167210736307581
ALB,Europe,Upper Middle Income,month_48_59 , male,secondary,0.45359010330315
ALB,Europe,Upper Middle Income,month_48_59 , male,higher_secondary,0.349364110857899
ALB,Europe,Upper Middle Income,month_0_5 , female,primary,0.7519884076638222
ALB,Europe,Upper Middle Income,month_0_5 , female,none-primary,0.7490251795721841
ALB,Europe,Upper Middle Income,month_0_5 , female,secondary,0.8807434944237917
ALB,Europe,Upper Middle Income,month_0_5 , female,higher_secondary,0.570096900776808
ALB,Europe,Upper Middle Income,month_6_11 , female,primary,0.5391846522781775
ALB,Europe,Upper Middle Income,month_6_11 , female,none-primary,0.5403621541114683
ALB,Europe,Upper Middle Income,month_6_11 , female,secondary,0.4883311316600616
ALB,Europe,Upper Middle Income,month_6_11 , female,higher_secondary,0.3596660039761432
ALB,Europe,Upper Middle Income,month_12_23 , female,primary,0.5223140495867769
ALB,Europe,Upper Middle Income,month_12_23 , female,none-primary,0.5237294386663716
ALB,Europe,Upper Middle Income,month_12_23 , female,secondary,0.4641796926310259
ALB,Europe,Upper Middle Income,month_12_23 , female,higher_secondary,0.353614953271028
ALB,Europe,Upper Middle Income,month_24_35 , female,primary,0.6162357499441173
ALB,Europe,Upper Middle Income,month_24_35 , female,none-primary,0.6159423470880889
ALB,Europe,Upper Middle Income,month_24_35 , female,secondary,0.6282107716209219
ALB,Europe,Upper Middle Income,month_24_35 , female,higher_secondary,0.4484724899896188
ALB,Europe,Upper Middle Income,month_36_47 , female,primary,0.4994224788982673
ALB,Europe,Upper Middle Income,month_36_47 , female,none-primary,0.5012288228022976
ALB,Europe,Upper Middle Income,month_36_47 , female,secondary,0.4260468689973108
ALB,Europe,Upper Middle Income,month_36_47 , female,higher_secondary,0.3332694716675263
ALB,Europe,Upper Middle Income,month_48_59 , female,primary,0.7359716479621972
ALB,Europe,Upper Middle Income,month_48_59 , female,none-primary,0.733536364295555
ALB,Europe,Upper Middle Income,month_48_59 , female,secondary,0.8346884159551421
ALB,Europe,Upper Middle Income,month_48_59 , female,higher_secondary,0.5691527665515467
DZA,Africa,Lower Middle Income,month_0_5 , male,primary,2.149352721470791
DZA,Africa,Lower Middle Income,month_0_5 , male,none-primary,1.7441115587508624
DZA,Africa,Lower Middle Income,month_0_5 , male,secondary,1.6317404335736725
DZA,Africa,Lower Middle Income,month_0_5 , male,higher_secondary,1.5548689588843472
DZA,Africa,Lower Middle Income,month_6_11 , male,primary,1.4796035528596188
DZA,Africa,Lower Middle Income,month_6_11 , male,none-primary,1.333394752031257
DZA,Africa,Lower Middle Income,month_6_11 , male,secondary,1.4095208904274243
DZA,Africa,Lower Middle Income,month_6_11 , male,higher_secondary,1.3841704156004917
DZA,Africa,Lower Middle Income,month_12_23 , male,primary,1.220565530401596
DZA,Africa,Lower Middle Income,month_12_23 , male,none-primary,1.1802895816084873
DZA,Africa,Lower Middle Income,month_12_23 , male,secondary,1.3154295292328526
DZA,Africa,Lower Middle Income,month_12_23 , male,higher_secondary,1.31207184047801
DZA,Africa,Lower Middle Income,month_24_35 , male,primary,0.9379662381732956
DZA,Africa,Lower Middle Income,month_24_35 , male,none-primary,0.9919018475529036
DZA,Africa,Lower Middle Income,month_24_35 , male,secondary,1.206377322122894
DZA,Africa,Lower Middle Income,month_24_35 , male,higher_secondary,1.2267181132402671
DZA,Africa,Lower Middle Income,month_36_47 , male,primary,1.0173930314379755
DZA,Africa,Lower Middle Income,month_36_47 , male,none-primary,1.0446438757272694
DZA,Africa,Lower Middle Income,month_36_47 , male,secondary,1.2358326721325927
DZA,Africa,Lower Middle Income,month_36_47 , male,higher_secondary,1.2497171872436332
DZA,Africa,Lower Middle Income,month_48_59 , male,primary,0.9331192247013748
DZA,Africa,Lower Middle Income,month_48_59 , male,none-primary,0.9879082617416644
DZA,Africa,Lower Middle Income,month_48_59 , male,secondary,1.202353949624159
DZA,Africa,Lower Middle Income,month_48_59 , male,higher_secondary,1.2234367056431112
DZA,Africa,Lower Middle Income,month_0_5 , female,primary,1.690878189085204
DZA,Africa,Lower Middle Income,month_0_5 , female,none-primary,1.4585231522404298
